No;nama_pemda;Tahun;Ekonomi;Kesehatan;Ketertiban;Lingkungan;ParBud;Pelayanan;Pendidikan;Sosial;Rumah_Fasum;Populasi;Base_AHH;Target_AHH;Base_HLS;Target_HLS;Base_RLS;Target_RLS;Base_PPK;Target_PPK;Base_IPM;Target_IPM
1;Kab. Buton Tengah;2018;36919668025;53009867998;6467898200;3039732887;9294078750;120515000000;133536000000;8350526086;166381000000;92165;67.17;69.97;12.32;12.35;7.02;7.28;7012;7016;62.82;63.46
2;Kab. Konawe Kepulauan;2018;38689971318;57325387949;11378008126;3948837073;6467292763;106949000000;76574062652;6075150545;134974000000;33680;67.88;71.99;11.3;11.59;8.9;9.17;6458;6601;63.44;64.36
3;Kab. Aceh Barat;2018;84859343514;231533000000;15776065920;8659030354;10312779967;145877000000;260930000000;30180770126;143626000000;205971;67.62;67.72;14.57;14.58;9.04;9.08;8989;9134;70.2;70.47
4;Kab. Aceh Barat Daya;2018;62241884784;136910000000;4897133048;413243525;0;126493000000;173732000000;9812480831;146176000000;148111;64.51;64.65;13.55;13.56;8.12;8.13;7723;8093;65.09;65.67
5;Kab. Aceh Jaya;2018;68889006051;112110000000;5705840885;7623624812;2516675103;152525000000;158389000000;26028831229;94975152102;91087;66.77;66.88;13.95;13.96;813;8.37;8322;9262;68.07;68.83
6;Kab. Aceh Selatan;2018;82324036255;277157000000;15564386106;9577058658;12889790755;237281000000;349898000000;20285778644;100202000000;235115;63.89;64.02;13.8;14.15;8.33;8.38;7567;7891;65.03;65.92
7;Kab. Aceh Tamiang;2018;57345348628;171885000000;10791279571;18859292803;0;204027000000;282502000000;9575903445;154654000000;291112;69.16;69.28;13.56;13.57;8.47;8.7;7931;8032;67.99;68.45
8;Kab. Aceh Tengah;2018;63604167219;235070000000;16286880049;18675979819;13736165791;181888000000;281231000000;16157398352;147641000000;208505;68.53;68.62;14.24;14.25;9.67;9.68;10021;10394;72.19;72.64
9;Kab. Aceh Tenggara;2018;48875133854;102764000000;20571766893;9167189379;6760519606;163079000000;269804000000;27793128248;134259000000;212417;67.62;67.77;13.97;13.98;9.63;9.64;7359;7685;68.09;68.67
10;Kab. Aceh Utara;2018;74942931138;404630000000;15983547438;30089647175;18679031665;225521000000;632222000000;10825589666;134440000000;611435;68.54;68.61;14.42;14.68;8.1;8.11;7632;7919;67.67;68.36
11;Kab. Asahan;2018;97537379966;202665000000;25525728924;10784400486;0;360313000000;440429000000;25998477003;233136000000;724379;67.57;67.79;12.53;12.56;8.46;8.47;10477;10735;69.1;69.49
